key;sources;monoculture;inhibition score;test organism;phylogenetic distance (Tamura-Nei);strain A;strain B
P2_m47_1|P3_m166_1;P_P;1;2;Staphylococcus;na;P2_m47_1;P3_m166_1
P2_m47_1|P3_m166_1;P_P;1;0;Acinetobacter;na;P2_m47_1;P3_m166_1
S2_m2_1|S2_m3_1;S_S;1;2;Staphylococcus;0;S2_m2_1;S2_m3_1
S2_m11_2|S2_m3_1;S_S;1;2;Staphylococcus;0;S2_m11_2;S2_m3_1
S2_m13_1|S2_m5_1;S_S;2;2;Staphylococcus;0;S2_m13_1;S2_m5_1
P2_m8_1|S2_m10_4;P_S;1;2;Staphylococcus;0;P2_m8_1;S2_m10_4
P2_m17_1|P2_m45_1;P_P;0;0;Acinetobacter;0;P2_m17_1;P2_m45_1
P2_m17_1|P2_m45_1;P_P;0;0;Staphylococcus;0;P2_m17_1;P2_m45_1
P2_m27_1|P2_m89_1;P_P;0;0;Acinetobacter;0;P2_m27_1;P2_m89_1
P2_m27_1|P2_m35_1;P_P;0;0;Acinetobacter;0;P2_m27_1;P2_m35_1
P2_m86_1|P3_m148_1;P_P;0;0;Staphylococcus;0;P2_m86_1;P3_m148_1
P2_m18_1|S3_m202_1;P_S;1;0;Staphylococcus;0;P2_m18_1;S3_m202_1
P2_m90_1|S3_m201_1;P_S;2;0;Staphylococcus;0;P2_m90_1;S3_m201_1
P2_m90_1|S3_m201_1;P_S;2;0;Acinetobacter;0;P2_m90_1;S3_m201_1
P2_m90_1|S2_m52_1;P_S;2;2;Staphylococcus;0;P2_m90_1;S2_m52_1
P2_m90_1|S2_m52_1;P_S;2;0;Acinetobacter;0;P2_m90_1;S2_m52_1
P2_m90_1|S3_m138_1;P_S;2;0;Acinetobacter;0;P2_m90_1;S3_m138_1
P2_m90_1|S3_m138_1;P_S;2;0;Staphylococcus;0;P2_m90_1;S3_m138_1
P2_m90_1|S3_m132_1;P_S;2;0;Acinetobacter;0;P2_m90_1;S3_m132_1
P2_m90_1|S3_m132_1;P_S;2;0;Staphylococcus;0;P2_m90_1;S3_m132_1
P2_m24_1|P2_m90_1;P_P;2;0;Staphylococcus;0;P2_m24_1;P2_m90_1
P2_m24_1|P2_m90_1;P_P;2;0;Acinetobacter;0;P2_m24_1;P2_m90_1
P2_m30_1|P2_m90_1;P_P;2;0;Staphylococcus;0;P2_m30_1;P2_m90_1
P2_m30_1|P2_m90_1;P_P;2;0;Acinetobacter;0;P2_m30_1;P2_m90_1
P2_m90_1|S3_m202_1;P_S;2;0;Acinetobacter;0;P2_m90_1;S3_m202_1
P2_m90_1|S3_m202_1;P_S;2;2;Staphylococcus;0;P2_m90_1;S3_m202_1
P2_m90_1|S3_m201_1;P_S;2;2;Staphylococcus;0;P2_m90_1;S3_m201_1
P2_m90_1|S3_m132_1;P_S;2;2;Staphylococcus;0;P2_m90_1;S3_m132_1
P2_m24_1|P2_m90_1;P_P;2;2;Staphylococcus;0;P2_m24_1;P2_m90_1
P3_m114_1|P3_m115_1;P_P;0;0;Acinetobacter;0;P3_m114_1;P3_m115_1
P3_m114_1|P3_m115_1;P_P;0;0;Staphylococcus;0;P3_m114_1;P3_m115_1
P3_m160_1|P3_m162_1;P_P;0;0;Staphylococcus;0;P3_m160_1;P3_m162_1
P3_m160_1|P3_m162_1;P_P;0;0;Acinetobacter;0;P3_m160_1;P3_m162_1
P3_m160_1|S3_m169_1;P_S;0;0;Acinetobacter;0;P3_m160_1;S3_m169_1
P3_m160_1|S3_m169_1;P_S;0;0;Staphylococcus;0;P3_m160_1;S3_m169_1
P3_m115_1|P3_m177_1;P_P;0;0;Acinetobacter;0;P3_m115_1;P3_m177_1
P3_m115_1|P3_m177_1;P_P;0;0;Staphylococcus;0;P3_m115_1;P3_m177_1
P3_m154_1|S3_m133_1;P_S;0;0;Acinetobacter;0;P3_m154_1;S3_m133_1
P3_m150_1|P3_m168_1;P_P;0;0;Staphylococcus;0;P3_m150_1;P3_m168_1
S3_m139_1|S3_m215_2;S_S;0;0;Acinetobacter;0;S3_m139_1;S3_m215_2
S3_m139_1|S3_m215_2;S_S;0;0;Staphylococcus;0;S3_m139_1;S3_m215_2
P2_m76_1|S3_m142_1;P_S;0;0;Staphylococcus;0;P2_m76_1;S3_m142_1
P2_m18_1|S2_m108_1;P_S;0;0;Staphylococcus;0;P2_m18_1;S2_m108_1
P2_m38_1|P3_m168_1;P_P;0;0;Staphylococcus;0;P2_m38_1;P3_m168_1
P2_m83_1|S3_m193_1;P_S;0;0;Acinetobacter;0;P2_m83_1;S3_m193_1
P2_m83_1|S3_m193_1;P_S;0;0;Staphylococcus;0;P2_m83_1;S3_m193_1
P3_m160_1|S2_m233_1;P_S;0;0;Staphylococcus;0.001158434;P3_m160_1;S2_m233_1
P3_m160_1|S2_m233_1;P_S;0;0;Acinetobacter;0.001158434;P3_m160_1;S2_m233_1
P2_m90_1|P3_m158_1;P_P;2;0;Acinetobacter;0.001204501;P2_m90_1;P3_m158_1
P2_m90_1|P3_m158_1;P_P;2;2;Staphylococcus;0.001204501;P2_m90_1;P3_m158_1
P2_m85_1|P3_m162_1;P_P;0;0;Acinetobacter;0.001652483;P2_m85_1;P3_m162_1
P2_m85_1|P3_m162_1;P_P;0;0;Staphylococcus;0.001652483;P2_m85_1;P3_m162_1
P2_m85_1|S3_m169_1;P_S;0;0;Acinetobacter;0.001652483;P2_m85_1;S3_m169_1
P2_m85_1|S3_m169_1;P_S;0;0;Staphylococcus;0.001652483;P2_m85_1;S3_m169_1
P2_m85_1|P3_m160_1;P_P;0;0;Acinetobacter;0.001676031;P2_m85_1;P3_m160_1
P2_m33_1|P2_m78_1;P_P;0;0;Staphylococcus;0.001848129;P2_m33_1;P2_m78_1
P2_m33_1|P2_m78_1;P_P;0;0;Acinetobacter;0.001848129;P2_m33_1;P2_m78_1
P2_m45_1|P2_m64_1;P_P;0;0;Staphylococcus;0.002391013;P2_m45_1;P2_m64_1
